rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
1000085,Reporter,Buriram Rajabhat University,n/a,1000085,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Thailand,11197,26.2,0%,53:47:00,Buriram Rajabhat University,"Art, Performing Arts & Design,Law,Education,Business & Management,Agriculture & Forestry,Physics & Astronomy,Electrical & Electronic Engineering,Accounting & Finance,Politics & International Studies (incl Development Studies),Economics & Econometrics,Architecture,Civil Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science,Sport Science,Chemistry,Biological Sciences,Other Health",FALSE,FALSE
1000086,Reporter,Canadian International College (CIC) – Cairo,n/a,1000086,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Egypt,9494,39.4,2%,32 : 68,Canadian International College (CIC) – Cairo,"General Engineering,Communication & Media Studies,Mathematics & Statistics,Computer Science,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Business & Management,Architecture,Economics & Econometrics,Accounting & Finance,Civil Engineering",FALSE,FALSE
1000087,Reporter,Catholic University in Erbil,n/a,1000087,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Iraq,152,3.6,0%,58:42:00,Catholic University in Erbil,"Architecture,Computer Science,Languages, Literature & Linguistics,General Engineering,Accounting & Finance",FALSE,FALSE
1000088,Reporter,Universidad Católica de Colombia,n/a,1000088,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Colombia,10671,27.2,0%,50:50:00,Universidad Católica de Colombia,"Economics & Econometrics,General Engineering,Psychology,Business & Management,Computer Science,Law,Civil Engineering,Electrical & Electronic Engineering,Architecture",FALSE,FALSE
1000089,Reporter,Universidad Católica de Cuenca,n/a,1000089,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Ecuador,16046,20.6,2%,57:43:00,Universidad Católica de Cuenca,"Architecture,General Engineering,Languages, Literature & Linguistics,Agriculture & Forestry,Law,Computer Science,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Accounting & Finance,Veterinary Science,Medicine & Dentistry,Psychology,Business & Management,Education,Other Health,Communication & Media Studies,Economics & Econometrics,Civil Engineering",FALSE,FALSE
1000089,Reporter,B. S. Abdur Rahman Crescent Institute of Science and Technology,n/a,1000089,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,India,7046,15.7,0%,24 : 76,B. S. Abdur Rahman Crescent Institute of Science and Technology,"Accounting & Finance,Chemistry,Civil Engineering,Architecture,Electrical & Electronic Engineering,Law,General Engineering,Computer Science,Biological Sciences,Languages, Literature & Linguistics,Physics & Astronomy,Mechanical & Aerospace Engineering,Business & Management,Mathematics & Statistics",FALSE,FALSE
1000090,Reporter,Universidad Católica San Pablo,n/a,1000090,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Peru,8793,32.5,0%,53:47:00,Universidad Católica San Pablo,"Accounting & Finance,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Civil Engineering,Art, Performing Arts & Design,Law,History, Philosophy & Theology,Biological Sciences,Business & Management,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Computer Science,Geology, Environmental, Earth & Marine Sciences,General Engineering,Psychology,Economics & Econometrics,Education,Mathematics & Statistics,Other Health,Chemistry,Architecture,Chemical Engineering,Physics & Astronomy",FALSE,FALSE
1000091,Reporter,Cebu Technological University,n/a,1000091,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Philippines,39726,33.3,0%,50:50:00,Cebu Technological University,"Sociology,Veterinary Science,Languages, Literature & Linguistics,Civil Engineering,General Engineering,Psychology,Other Health,Mathematics & Statistics,Architecture,Biological Sciences,Electrical & Electronic Engineering,Business & Management,Mechanical & Aerospace Engineering,Economics & Econometrics,Computer Science,Education,Agriculture & Forestry",FALSE,FALSE
1000092,Reporter,CECOS University of IT and Emerging Sciences,n/a,1000092,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Pakistan,2405,13,0%,0.520138889,CECOS University of IT and Emerging Sciences,"Civil Engineering,Other Health,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Business & Management,Computer Science,Mechanical & Aerospace Engineering,Architecture,Biological Sciences",FALSE,FALSE
1000093,Reporter,University of Celaya,n/a,1000093,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Mexico,1993,14,2%,50:50:00,University of Celaya,"Medicine & Dentistry,Law,General Engineering,Other Health,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Architecture,Business & Management,Languages, Literature & Linguistics,Psychology,Education,Communication & Media Studies",FALSE,FALSE
1000094,Reporter,Central European University,n/a,1000094,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Austria,1276,7.6,83%,55:45:00,Central European University,"Business & Management,Economics & Econometrics,Law,Accounting & Finance,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Sociology",FALSE,FALSE
1000095,Reporter,University of Central Punjab,n/a,1000095,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Pakistan,16948,32.8,0%,36 : 64,University of Central Punjab,"Law,Business & Management,Computer Science,Physics & Astronomy,Chemistry,Sport Science,Electrical & Electronic Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Economics & Econometrics,Agriculture & Forestry,Psychology,Civil Engineering,Biological Sciences,Other Health,Mathematics & Statistics,Accounting & Finance,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies)",FALSE,FALSE
1000096,Reporter,Centro Universitário de Jaguariúna,n/a,1000096,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Brazil,9839,25.8,0%,58:42:00,Centro Universitário de Jaguariúna,"Mechanical & Aerospace Engineering,Architecture,Other Health,Sport Science,Languages, Literature & Linguistics,Law,Computer Science,Agriculture & Forestry,Psychology,Civil Engineering,Accounting & Finance,Education,Business & Management,Veterinary Science,Electrical & Electronic Engineering,Medicine & Dentistry,Communication & Media Studies",FALSE,FALSE
1000097,Reporter,Centro Universitário Max Planck,n/a,1000097,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Brazil,5150,16,0%,61:39:00,Centro Universitário Max Planck,"Sport Science,Medicine & Dentistry,Psychology,Veterinary Science,Accounting & Finance,Business & Management,Civil Engineering,Education,Mechanical & Aerospace Engineering,Other Health,Biological Sciences,Architecture,Law",FALSE,FALSE
1000098,Reporter,CES University,n/a,1000098,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Colombia,6348,13.5,3%,70:30:00,CES University,"Biological Sciences,Geology, Environmental, Earth & Marine Sciences,General Engineering,Business & Management,Law,Veterinary Science,History, Philosophy & Theology,Agriculture & Forestry,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Other Health,Medicine & Dentistry,Psychology",FALSE,FALSE
1000099,Reporter,César Ritz Colleges Switzerland,n/a,1000099,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Switzerland,547,4.8,99%,49:51:00,César Ritz Colleges Switzerland,Business & Management,FALSE,FALSE
1000100,Reporter,CETYS Universidad,n/a,1000100,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Mexico,4960,9.6,13%,52:48:00,CETYS Universidad CETYS Universidad University CETYS Universidad CETYS,"Accounting & Finance,Law,Education,Mechanical & Aerospace Engineering,General Engineering,Psychology,Computer Science,Electrical & Electronic Engineering,Business & Management",FALSE,FALSE
1000101,Reporter,Chernihiv National University of Technology,n/a,1000101,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Ukraine,5914,20.5,0%,42:58:00,Chernihiv National University of Technology,"Business & Management,Civil Engineering,Agriculture & Forestry,Economics & Econometrics,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Law,Computer Science,Accounting & Finance",FALSE,FALSE
1000102,Reporter,University of Chichester,n/a,1000102,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,4180,14.7,7%,62:38:00,University of Chichester,"Art, Performing Arts & Design,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Accounting & Finance,Communication & Media Studies,Sport Science,Psychology,Education,Other Health,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Sociology,Computer Science,General Engineering,Electrical & Electronic Engineering,Business & Management,Languages, Literature & Linguistics",FALSE,FALSE
1000103,Reporter,Chitkara University,n/a,1000103,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,India,12895,15.5,3%,40 : 60,Chitkara University,"Art, Performing Arts & Design,Civil Engineering,Communication & Media Studies,Accounting & Finance,Architecture,General Engineering,Business & Management,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Computer Science,Education",FALSE,FALSE
1000104,Reporter,Christ University Bengaluru India,n/a,1000104,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,India,23637,20.2,2%,48:52:00,Christ University Bengaluru India,"Law,Accounting & Finance,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Communication & Media Studies,Sociology,Art, Performing Arts & Design,Mathematics & Statistics,Biological Sciences,Business & Management,Computer Science,Psychology,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Architecture,Economics & Econometrics,Chemistry,Education,Civil Engineering,Physics & Astronomy",FALSE,FALSE
1000105,Reporter,University of Civil Protection,n/a,1000105,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Belarus,743,3.6,12%,0.479166667,University of Civil Protection,"General Engineering,Politics & International Studies (incl Development Studies),Computer Science,Physics & Astronomy,Education,History, Philosophy & Theology,Civil Engineering,Sport Science,Chemistry,Communication & Media Studies,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Law,Chemical Engineering,Psychology,Other Health",FALSE,FALSE
1000106,Reporter,Coal City University,n/a,1000106,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,461,4.8,0%,48:52:00,Coal City University,"Education,Business & Management,Politics & International Studies (incl Development Studies),Psychology,Chemistry,Biological Sciences,Economics & Econometrics,Sociology,Mathematics & Statistics,Languages, Literature & Linguistics,Accounting & Finance,Communication & Media Studies,Computer Science",FALSE,FALSE
1000107,Reporter,Conservatoire for Dance and Drama,n/a,1000107,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,940,10.4,35%,70:30:00,Conservatoire for Dance and Drama,"Art, Performing Arts & Design",FALSE,FALSE
1000108,Reporter,University of Constantine 3,n/a,1000108,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Algeria,14736,16.2,2%,73:27:00,University of Constantine 3,"Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Chemical Engineering,Other Health,Sociology,Agriculture & Forestry,General Engineering,Civil Engineering,Architecture,Geography,Communication & Media Studies,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies)",FALSE,FALSE
1000109,Reporter,Courtauld Institute of Art,n/a,1000109,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,510,12.8,51%,82:18:00,Courtauld Institute of Art,"History, Philosophy & Theology",FALSE,FALSE
1000110,Reporter,Cranfield University,n/a,1000110,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,3135,7.8,68%,30 : 70,Cranfield University,"Agriculture & Forestry,Accounting & Finance,Chemistry,Business & Management,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Physics & Astronomy,Economics & Econometrics,Biological Sciences,Computer Science,Mechanical & Aerospace Engineering",FALSE,FALSE
1000111,Reporter,University for the Creative Arts,n/a,1000111,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,5345,18.8,35%,67:33:00,University for the Creative Arts,"Art, Performing Arts & Design,Computer Science,Architecture,Communication & Media Studies,Business & Management",FALSE,FALSE
1000111,Reporter,Cihan University – Erbil,n/a,1000111,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Iraq,4457,23.3,1%,43:57:00,Cihan University – Erbil,"Art, Performing Arts & Design,Law,Business & Management,Languages, Literature & Linguistics,General Engineering,Computer Science,Sociology,Education,Architecture,Civil Engineering,Biological Sciences,Other Health,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Communication & Media Studies,Sport Science,Economics & Econometrics,Accounting & Finance",FALSE,FALSE
1000112,Reporter,"City University of Science and Information Technology, Peshawar",n/a,1000112,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Pakistan,4163,21.3,2%,0.684027778,"City University of Science and Information Technology, Peshawar","Education,Computer Science,Economics & Econometrics,Mathematics & Statistics,Other Health,Politics & International Studies (incl Development Studies),Civil Engineering,Architecture,Psychology,Business & Management,Sociology,Accounting & Finance,Electrical & Electronic Engineering,Law,Languages, Literature & Linguistics",FALSE,FALSE
1000112,Reporter,Cross River University of Technology,n/a,1000112,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Nigeria,18915,40.2,0%,36 : 64,Cross River University of Technology,"Business & Management,Other Health,Agriculture & Forestry,Chemistry,Physics & Astronomy,Art, Performing Arts & Design,Computer Science,Education,Electrical & Electronic Engineering,Architecture,Mathematics & Statistics,Biological Sciences,Mechanical & Aerospace Engineering,Communication & Media Studies,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Civil Engineering",FALSE,FALSE
1000113,Reporter,University of Cumbria,n/a,1000113,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,United Kingdom,5275,15.7,10%,70:30:00,University of Cumbria,"Education,Politics & International Studies (incl Development Studies),Accounting & Finance,Chemistry,Art, Performing Arts & Design,Sport Science,Other Health,Psychology,Business & Management,Biological Sciences,Physics & Astronomy,Agriculture & Forestry,Sociology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Law,Communication & Media Studies,Computer Science",FALSE,FALSE
1000114,Reporter,C.V. Raman Global University,n/a,1000114,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,India,6991,15.8,4%,29 : 71,C.V. Raman Global University,"Chemical Engineering,Physics & Astronomy,Mechanical & Aerospace Engineering,Business & Management,Chemistry,Agriculture & Forestry,Computer Science,Mathematics & Statistics,Electrical & Electronic Engineering,Civil Engineering,General Engineering,Biological Sciences",FALSE,FALSE
1000115,Reporter,Cyprus Health and Social Sciences University,n/a,1000115,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Northern Cyprus,2354,35.1,75%,45:55:00,Cyprus Health and Social Sciences University,"Languages, Literature & Linguistics,Other Health,Sport Science,Communication & Media Studies,Veterinary Science,Law,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Business & Management,Accounting & Finance,Sociology,Psychology,Mechanical & Aerospace Engineering,Education",FALSE,FALSE
1000116,Reporter,Daffodil International University (DIU),n/a,1000116,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,Bangladesh,16157,21.1,3%,34 : 66,Daffodil International University (DIU),"Biological Sciences,Art, Performing Arts & Design,Economics & Econometrics,Law,Languages, Literature & Linguistics,Civil Engineering,Computer Science,Architecture,Business & Management,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Communication & Media Studies,Other Health,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
